First name,Last name,Uni ID,Institution,Department,Email address,Groups,Assignment: Assignment 1 (SQL): Marks and Feedback (Real),Assignment: Assignment 2 (Database Theory): Marks and Feedback (Real),Quiz: NoSQL Test (Real),Total marks for quizzes (Real),Lab activities (Lab 1-8) (Real),Final Exam (Real),"Quiz: Quiz for Week 2 (deadline: 11:59pm, Aug 1, Tuesday) (Real)","Quiz: Quiz for Week 3 (deadline 23:59, August 8, Tuesday) (Real)","Quiz: Quiz for Week 4 (deadline: 11:59pm, August 15, Tuesday) (Real)","Quiz: Quiz for Week 5 (deadline: 11:59pm, 22 August, Tuesday) (Real)","Quiz: Quiz for Week 6 (deadline: 11:59pm, 29 August, Tuesday) (Real)","Quiz: Quiz for Week 7 (deadline: 11:59pm, 19 September, Tuesday) (Real)","Quiz: Quiz for Week 8 (deadline 11:59pm, 26 September, Tuesday) (Real)","Quiz: Quiz for Week 9 (deadline: 23:59, 3 October, Tuesday) (Real)","Quiz: Quiz for Week 10 (deadline: 11:59pm, October 10, Tuesday) (Real)","Quiz: Quiz for Week 11 (deadline: 11:59pm, 17 October, Tuesday) (Real)",Attendance: Lab Engagement (Real),Attendance: Lab 8 Engagement (Real),Quiz: DA/PX Exam (Real),Course total (Real),Last downloaded from this course
MYEOVN,QOBBNO,u0000077,,,u0000077@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/24 (Classes 7460/7511),19.7,10.6,3.9,3.2,2.3,42.3,0.6,0.5,0.5,0.4,0.5,0.6,0.5,0.6,-,0.6,80.7,-,-,82,1710372713
BWZBFG,JHZUXI,u0000078,,,u0000078@anu.edu.au,[MyTT] ComA/11 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),22.2,11.7,2.9,3.2,2.2,26.6,0.4,0.5,0.4,0.5,0.6,0.5,0.5,0.4,0.4,-,56.8,-,-,72.1,1710372713
NACCLB,CJIBJT,u0000079,,,u0000079@anu.edu.au,[MyTT] ComA/14 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),19.1,12.4,4.1,3.2,2.2,37.2,0.3,0.5,0.3,0.5,0.5,0.5,0.6,0.6,0.4,0.5,78.4,-,-,76.1,1710372713
JBHQRR,QOCERH,u0000080,,,u0000080@anu.edu.au,[MyTT] ComA/18 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 2 (01) Tue Oct 10 8:00 - 10:00 (CSIT N115/N116),16.5,13.2,4.8,3.3,1.5,40.2,0.6,0.5,0.5,0.4,0.5,0.5,0.5,0.4,-,0.6,43.3,-,-,80.1,1710372713
TMGDTS,KSQMYN,u0000081,,,u0000081@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/24 (Classes 7460/7511);Lab 8 Option 1 (01) Wed Oct 11 16:00 - 18:00 (CSIT N115/N116),20.4,14.7,4.4,3.5,2.3,55.9,0.5,0.5,0.6,0.5,0.6,0.6,0.5,0.3,0.5,0.5,87.4,0,-,107.8,1710372713
MULXHR,QZOSUK,u0000082,,,u0000082@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/25 (Classes 7460/7511),17.8,9.3,4.1,3.2,2.1,32.9,0.5,0.6,0.5,0.5,0.6,0.4,0.5,0.4,0.3,0.4,80.8,-,-,75.7,1710372713
SYNFLC,RUIRFZ,u0000083,,,u0000083@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/23 (Classes 7460/7511);Lab 8 Option 3 (01) Thu Oct 12 18:00 - 20:00 (HN 1.24),18.1,14.7,3.2,2.9,2,31.7,0.6,0.6,0.4,0.5,0.5,0.4,0.5,0.4,0.4,0.6,59,113.4,-,79.5,1710372713
XVDBTV,QMBFYS,u0000084,,,u0000084@anu.edu.au,[MyTT] ComA/18 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 3 (01) Thu Oct 12 18:00 - 20:00 (HN 1.24),18.1,13,5.4,3.5,2.1,35,0.6,0.6,0.4,0.5,0.5,0.5,0.4,0.4,0.3,0.6,75.5,-,-,82,1710372713
TKPQZC,SEZPCK,u0000085,,,u0000085@anu.edu.au,[MyTT] ComA/08 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 1 (01) Wed Oct 11 16:00 - 18:00 (CSIT N115/N116);Lab 8 Option 3 (02) Mon Oct 16 16:00 - 18:00 (HN 1.24),17.2,14.3,4,3.3,2.3,54.1,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.4,0.6,101.9,114,-,94.5,1710372713
CMUTVF,NAFQXY,u0000086,,,u0000086@anu.edu.au,[MyTT] ComA/14 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),20.7,13.8,3.7,3.5,2.1,40.4,0.5,0.6,-,0.5,0.5,0.2,0.6,0.6,-,-,55.4,-,-,90.8,1710372713
EUMYHD,PBLRPK,u0000087,,,u0000087@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/23 (Classes 7460/7511),14.4,11.6,2.6,2.8,2.2,48.4,0.5,0.6,0.5,0,-,0.2,0.5,0.2,0.2,0.5,83.7,-,-,82.5,1710372713
CHBYCS,YQBKWA,u0000088,,,u0000088@anu.edu.au,[MyTT] ComA/04 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),20.1,12.1,3.4,3.2,2.4,31.2,0.5,0.5,0.6,0.6,0.4,0.4,0.6,0.4,0.3,0.6,78.5,-,-,78.2,1710372713
RIIIQM,PGEKRF,u0000089,,,u0000089@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/25 (Classes 7460/7511);Lab 8 Option 3 (02) Mon Oct 16 16:00 - 18:00 (HN 1.24),18.3,10,2.7,2.4,1.8,17.6,-,0.4,-,0.3,0.5,0.4,0.5,0.4,-,-,40.1,-,-,57.5,1710372713
FQNBLG,LXUXSS,u0000090,,,u0000090@anu.edu.au,[MyTT] ComA/09 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 2 (02) Mon Oct 16 12:00 - 14:00 (HN 1.24),20.4,7.4,2.1,1.7,2.1,31,0.5,-,0.6,0.2,-,-,0.2,0.2,0.2,-,58.2,111.8,-,60.5,1710372713
SARMZA,DLMINO,u0000091,,,u0000091@anu.edu.au,[MyTT] ComA/10 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 2 (01) Tue Oct 10 8:00 - 10:00 (CSIT N115/N116),18,10.9,5.2,3.1,2.4,42.6,0.5,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.3,-,51.4,-,-,86.2,1710372713
JCWJDD,DCQHWX,u0000092,,,u0000092@anu.edu.au,[MyTT] ComA/09 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),14.5,8.4,3.7,1.6,2,18.3,0.4,-,-,-,0.5,-,0.5,-,0.1,-,76.3,-,-,51.5,1710372713
AEKCBN,UTZAWF,u0000093,,,u0000093@anu.edu.au,[MyTT] ComA/18 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),13.7,10.3,5,3.2,2,26.3,0.4,0.5,0.6,0.2,0.5,0.5,0.5,0.4,0.4,0.5,85.4,-,-,66.7,1710372713
APKRXY,HXNQRF,u0000094,,,u0000094@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/21 (Classes 7460/7511),22.7,15.2,5.4,3.5,2.1,28.2,0.6,0.4,0.6,0.4,0.5,0.3,0.5,0.5,0.5,0.5,65.9,-,-,68.6,1710372713
LDQGVQ,QEMOSW,u0000095,,,u0000095@anu.edu.au,[MyTT] ComA/19 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),17.6,12,4,2.6,2.1,27.8,0.4,0.5,0.4,0.1,0.5,-,0.2,-,0.2,0.5,66.2,-,-,68,1710372713
JUJQIU,JVVAGR,u0000096,,,u0000096@anu.edu.au,[MyTT] ComA/13 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),19.8,12,4.2,3,2,43.5,0.3,0.5,0.4,0.5,0.5,0.5,0.3,0.4,0.2,0.6,56.5,-,-,89.8,1710372713
HUQUFN,GNQOPP,u0000097,,,u0000097@anu.edu.au,[MyTT] ComA/01 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),15.6,9.4,3,2.4,2.1,28.7,0.4,-,0.4,-,-,0.3,0.3,-,0.4,0.6,65.2,-,-,66.3,1710372713
AZTLOV,AZKMUX,u0000098,,,u0000098@anu.edu.au,[MyTT] ComA/04 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),16.9,13.9,4.1,3.3,2.1,36.4,0.5,0.5,0.3,0.4,0.6,0.3,0.5,0.5,-,0.5,89.4,-,-,76.2,1710372713
TZWSZO,BZICCE,u0000099,Research School of Biology,,u0000099@anu.edu.au,[MyTT] ComA/05 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),16.4,6.7,4,2.8,2.1,30.5,0.5,0.5,0.3,0.1,0.5,0.4,0.5,0.6,0.3,0,56.7,-,-,58.9,1710372713
KHEDKW,HXMTUB,u0000100,,,u0000100@anu.edu.au,[MyTT] ComA/04 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),20.9,12.2,4.9,3.2,2.3,40.2,0.3,0.5,-,0.2,0.6,0.6,0.5,0.4,0.4,0.6,83.7,-,-,88,1710372713
YMQBZO,BXYNKR,u0000101,,,u0000101@anu.edu.au,[MyTT] ComA/12 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),18.5,5,3.9,2.6,2.2,25.8,0.6,-,-,0.5,0.5,-,0.4,-,0.3,0.6,51.6,-,-,58.4,1710372713
MWIIKH,CCHQFH,u0000102,,,u0000102@anu.edu.au,[MyTT] ComA/25 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),13.3,4,3.8,2.8,1.1,35.3,0.5,0.5,0.3,0.5,-,0.5,0.3,-,-,0.5,25.3,-,-,58.6,1710372713
SLRMWP,LDZTKI,u0000103,,,u0000103@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/23 (Classes 7460/7511),20.5,12.7,3.5,3.1,2.3,40.3,0.4,0.5,0.4,0.4,-,-,0.4,0.5,0.6,0.5,88.4,-,-,78.7,1710372713
MFGASY,RRZTTT,u0000104,,,u0000104@anu.edu.au,[MyTT] ComA/02 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 3 (02) Mon Oct 16 16:00 - 18:00 (HN 1.24),20.2,14.2,5.1,3.5,2.3,52.4,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.6,108.4,107,-,89.1,1710372713
YSTQTE,WCLOAL,u0000105,,,u0000105@anu.edu.au,[MyTT] ComA/04 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),17.4,11.5,4.3,3.2,2.4,29.8,0.4,0.5,0.5,-,-,0.5,0.4,-,-,0.5,81.5,-,-,70.1,1710372713
IYYBJJ,GUVLOA,u0000106,,,u0000106@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/24 (Classes 7460/7511),21.8,15.4,4.8,3.4,0,37.1,0.5,0.5,0.4,0.6,0.6,0.3,0.4,0.4,-,0.6,0,-,-,81.4,1710372713
KHUDOS,UOZTUU,u0000107,,,u0000107@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/22 (Classes 7460/7511),11.9,12,2.1,1.8,1.7,39.1,0.5,0.6,0.5,0.3,-,0.2,-,-,-,-,43.6,-,-,67.1,1710372713
XHNQIG,CSOTES,u0000108,,,u0000108@anu.edu.au,[MyTT] ComA/10 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),19.8,14.9,4.2,3.6,2.2,50.1,0.5,0.5,0.6,0.6,-,0.6,0.5,0.3,0.5,-,50.1,-,-,85.6,1710372713
GCNKQT,SDUXHS,u0000109,,,u0000109@anu.edu.au,[MyTT] ComA/11 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),15.4,13.1,3.4,3,2.3,35.9,0.5,0.6,0.5,0.5,0.4,0.3,0.5,0.5,0.5,0.5,63.5,-,-,72.5,1710372713
LJKNHL,REGWQF,u0000110,,,u0000110@anu.edu.au,[MyTT] ComA/04 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),14.2,8.9,4.1,3,2.2,28.3,0.5,0.5,0.1,0.4,0.5,0.4,0.4,0.3,0,0.5,75,-,-,59.8,1710372713
QERUUU,THIZAD,u0000111,,,u0000111@anu.edu.au,[MyTT] ComA/16 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),22.6,6.8,3.9,2.8,2.3,30.6,0.5,0.5,0.5,0.2,0.5,0.3,-,0.3,0.4,0.5,50.9,-,-,64.6,1710372714
HYBDKO,VVRENJ,u0000112,,,u0000112@anu.edu.au,[MyTT] ComA/20 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),16.1,12.1,4.9,3,2,36.8,0.6,0.6,0.2,0.6,0.5,0.4,0.5,0.5,0.2,0.5,51.1,-,-,78,1710372714
IGHCBS,CDATNH,u0000113,,,u0000113@anu.edu.au,[MyTT] ComA/20 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Supplementary and Deferred Exam,20.1,11.2,3.1,3.5,2.3,-,0.4,0.5,0.6,0.5,0.6,0.6,-,0.5,0.4,-,59.1,-,33.4,37.9,1710372714
GEHBGV,YBMWNU,u0000114,,,u0000114@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/25 (Classes 7460/7511);Supplementary and Deferred Exam,21.3,7.4,4.6,2.8,1.2,-,0.4,0.6,0.4,0.3,0.5,0.5,-,0.4,-,-,29.1,-,-,38.4,1710372714
SWEZKW,VLXGDP,u0000115,,,u0000115@anu.edu.au,[MyTT] ComA/03 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 2 (01) Tue Oct 10 8:00 - 10:00 (CSIT N115/N116),16.5,12.1,3.6,3.4,2.1,35.5,0.3,0.5,0.3,0.6,-,0.6,0.3,0.5,0.5,0.6,74.3,115.6,-,66.4,1710372714
XRDEGO,IJYYOX,u0000116,,,u0000116@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/21 (Classes 7460/7511),22.6,17,5,3,2.3,35.1,0.5,0.5,0.5,0.4,0.5,0.3,0.6,0.5,0.2,0.5,104.8,-,-,86.9,1710372714
BRYWCP,SPQKVE,u0000117,,,u0000117@anu.edu.au,[MyTT] ComA/03 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 1 (02) Mon Oct 16 14:00 - 16:00 (HN 1.24);Lab 8 Option 2 (02) Mon Oct 16 12:00 - 14:00 (HN 1.24),20.8,15.7,4.6,3.5,2.2,45.3,0.4,0.5,0.5,0.6,0.6,0.6,0.4,0.5,0.4,0.5,79.7,-,-,83.6,1710372714
NEKUCD,JMAOLJ,u0000118,,,u0000118@anu.edu.au,[MyTT] ComA/12 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),20,10.3,3.6,3.1,2.4,47.3,0.6,0.5,0.6,0.6,0.5,0.4,0.5,-,-,-,50.6,-,-,85,1710372714
MQPRYQ,MEFPXB,u0000119,,,u0000119@anu.edu.au,[MyTT] ComA/16 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),16.5,12.4,4.5,3.4,2.2,54.9,0.5,0.6,0.4,0.5,0.5,-,0.5,0.5,0.6,0.6,70.6,-,-,89.8,1710372714
YYHZZP,JCULCE,u0000120,,,u0000120@anu.edu.au,[MyTT] ComA/04 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 1 (02) Mon Oct 16 14:00 - 16:00 (HN 1.24),18.9,8,4.2,3.2,2,38.1,0.2,0.5,0.6,0.6,0.6,0.3,0.6,-,0.4,0.6,89.5,110.7,-,70.9,1710372714
MFAPJH,EMCMOM,u0000121,,,u0000121@anu.edu.au,[MyTT] ComA/14 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),13.8,12.6,3.9,2.5,2.3,27.5,0.4,0.4,0.4,0.2,0.5,-,0.3,0.3,0.5,-,68.6,-,-,62.5,1710372714
AXFEZQ,WYSOTX,u0000122,,,u0000122@anu.edu.au,[MyTT] ComA/05 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 1 (02) Mon Oct 16 14:00 - 16:00 (HN 1.24),21.7,11.9,4,2.9,2.1,37.7,0.5,0.5,0.5,0.4,0.6,0.6,0.6,0.4,0.4,0.5,103.4,-,-,75.1,1710372714
NQQVLV,SZZWGD,u0000123,,,u0000123@anu.edu.au,[MyTT] ComA/10 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),17.7,13.8,3.9,3.2,2.3,47.3,0.4,0.6,0.5,0.4,0.5,0.6,0.4,0.5,0.5,0.6,75.6,-,-,91.8,1710372714
ENQNCI,KSXJGP,u0000124,,,u0000124@anu.edu.au,[MyTT] ComA/13 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),17.7,14.8,2.7,3.4,2.2,40.5,0.6,0.5,0.6,0.4,0.5,0.3,0.5,0.6,0.6,0.6,54.3,-,-,76.5,1710372714
IDRKJO,FYWDQF,u0000125,,,u0000125@anu.edu.au,[MyTT] ComA/11 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),19.9,13.7,3.8,3,2.1,25.7,0.5,0.6,0.2,0.5,0.6,0.6,0.4,0.4,0.3,0.6,65.1,-,-,76.6,1710372714
ZGAVQC,TQFVXO,u0000126,,,u0000126@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/23 (Classes 7460/7511),17.3,10.9,4.5,3.5,2.3,34.3,0.5,0.6,0.3,0.4,0.6,0.5,0.6,0.5,0.2,0.5,90.4,-,-,71,1710372714
XKTHBF,EWYQVD,u0000127,,,u0000127@anu.edu.au,[MyTT] ComA/06 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),18.9,14.6,2.4,3,2.4,48.7,0.6,0.5,0.4,0.6,0.5,0.4,0.6,0.4,0.3,0.4,59,-,-,83,1710372714
IRBRJS,TVXEPM,u0000128,,,u0000128@anu.edu.au,[MyTT] ComA/15 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),20.4,12.5,3,3.2,2.1,50.4,0.5,0.6,0.5,0.6,0.5,0.5,0.5,0.4,0.4,0.6,101.5,-,-,90.9,1710372714
QIJWBI,FSBJQP,u0000129,,,u0000129@anu.edu.au,[MyTT] ComA/05 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),14.6,11,3.2,2.4,2.2,29.8,0.4,0.3,0.2,0.3,0.5,0.1,0.3,0.4,0.2,-,66.3,-,-,60.5,1710372714
WHWJFO,SAFHBV,u0000130,,,u0000130@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/22 (Classes 7460/7511);Lab 8 Option 1 (01) Wed Oct 11 16:00 - 18:00 (CSIT N115/N116),23.2,14.8,4.6,3.5,2.1,34.6,0.5,0.6,0.5,0.1,0.6,0.5,0.5,0.6,0.5,0.6,101.5,0,-,86.4,1710372714
QMVQOR,DIEAAL,u0000131,,,u0000131@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/24 (Classes 7460/7511);Lab 8 Option 1 (01) Wed Oct 11 16:00 - 18:00 (CSIT N115/N116),14.2,12.2,4.5,2.9,2.4,29,0.4,0.5,0.6,-,0.5,0.5,-,-,0.4,0.5,64.9,110.6,-,71.7,1710372714
TSORLD,LBSQLJ,u0000132,,,u0000132@anu.edu.au,[MyTT] ComA/03 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 2 (02) Mon Oct 16 12:00 - 14:00 (HN 1.24),14.6,9.7,3.9,2.7,2.3,28.4,0.4,0.4,0.5,0.1,0.6,0.3,0.5,0.3,0.4,0.6,81.5,103.6,-,69.4,1710372714
FSJLDC,KFVJRT,u0000133,,,u0000133@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/25 (Classes 7460/7511),18.8,8.8,3.9,3.5,2.1,27,0.6,0.5,0.5,0.2,0.5,0.5,0.6,0.4,0.3,0.6,77.3,-,-,66.8,1710372714
UUYARD,MRIJDM,u0000134,,,u0000134@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/22 (Classes 7460/7511),22.1,14.8,4.5,3.2,2,31.2,0.5,0.5,0.6,0.3,0.6,0.6,0.6,0.5,0.4,0.6,77.3,-,-,77.5,1710372714
ZHRASP,QPWAWI,u0000135,,,u0000135@anu.edu.au,[MyTT] ComA/18 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),17.2,14.4,4.6,3.3,2.1,40.1,0.3,0.5,0.5,0.6,0.5,0.4,0.5,0.5,0.4,0.6,81.6,-,-,80.3,1710372714
ZKJOBC,DFBDCV,u0000136,,,u0000136@anu.edu.au,[MyTT] ComA/19 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),21,12.9,4.1,3.5,2.3,43.1,0.5,0.6,0.5,0.5,0.5,0.2,0.5,0.6,-,0.5,59.2,-,-,96.6,1710372714
YWMCOA,UWEYPU,u0000137,,,u0000137@anu.edu.au,[MyTT] ComA/07 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Supplementary and Deferred Exam,20.3,15.6,3.8,3.5,2.1,-,0.6,0.5,0.3,0.6,0.5,0.6,0.5,0,0.4,0.6,52.2,-,44.2,44.9,1710372714
XAWNUH,FYTYMW,u0000138,,,u0000138@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/25 (Classes 7460/7511);Lab 8 Option 1 (02) Mon Oct 16 14:00 - 16:00 (HN 1.24),16.8,14.3,4.4,2.9,2.3,41,0.4,0.5,0.5,0.3,0.5,0.3,0.3,0.4,0.3,0.5,118.7,109.7,-,79,1710372714
LLPKNC,LVQWPL,u0000139,,,u0000139@anu.edu.au,[MyTT] ComA/15 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),17.3,14.1,3.7,2.9,2,44.1,0.6,0.6,0.4,0.2,0.3,0.2,0.4,0.4,0.3,0.6,97,-,-,85.5,1710372714
RVCAYH,WAIHTZ,u0000140,,,u0000140@anu.edu.au,[MyTT] ComA/05 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 3 (01) Thu Oct 12 18:00 - 20:00 (HN 1.24),18.3,11.9,4.4,3,2.2,42,0.6,0.5,0.4,0.5,0.6,0.4,0.5,0.3,0.3,0.6,82,-,-,84.5,1710372714
CPHDEQ,GGXWLX,u0000141,,,u0000141@anu.edu.au,[MyTT] ComA/01 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 2 (01) Tue Oct 10 8:00 - 10:00 (CSIT N115/N116),18.5,5.2,4.2,2,1.5,37.9,0.3,-,0.3,0.2,0.6,0.2,-,0.5,0.1,-,43.9,-,-,62,1710372714
YUTONI,WPWZRM,u0000142,,,u0000142@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/21 (Classes 7460/7511),10.2,4.4,-,0.5,2.2,21.7,-,-,-,0,0.2,-,-,0.2,-,0,56.6,-,-,37.9,1710372714
PACWVU,AJMGXP,u0000143,,,u0000143@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/21 (Classes 7460/7511),18.2,8.8,3,2.4,2.3,49.8,0.5,0.4,0.4,0.3,0.5,0.5,-,-,0.2,-,57.8,-,-,88.2,1710372714
XMYUCE,YKNINP,u0000144,,,u0000144@anu.edu.au,[MyTT] ComA/04 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),18.6,13.3,3.3,3.2,2.1,34,0.4,0.6,0.5,0.4,0.4,0.5,0.5,0.4,0.5,-,59.6,-,-,70,1710372714
QIEDVQ,ZWXZBO,u0000145,,,u0000145@anu.edu.au,[MyTT] ComA/11 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),23.7,14.9,3.6,3.1,2,34.5,0.5,0.5,0.5,0.6,0.5,0.6,0.6,0.5,0.5,0.5,63.1,-,-,86.3,1710372714
SQSZCG,IKGPIE,u0000146,,,u0000146@anu.edu.au,[MyTT] ComA/09 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),23.5,14.5,5,3.2,2.4,54.7,0.6,0.5,0.5,0.6,0.5,0.5,0.6,0.4,0.3,0.6,99.4,-,-,93.5,1710372714
PEYEJI,POPBCL,u0000147,,,u0000147@anu.edu.au,[MyTT] ComA/12 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),12.2,1,2.7,2.7,1.6,28,0.3,-,0.4,0.5,-,-,0.4,0.4,0.3,-,40.2,-,-,47.8,1710372714
DQMLQK,VBNZOK,u0000148,,,u0000148@anu.edu.au,[MyTT] ComA/05 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),20.4,7.9,2.5,2.8,2.3,25.5,-,0.6,0.4,0.4,0.6,0.4,0.6,-,-,0.4,53.1,-,-,66,1710372714
WIPDPG,WQINYL,u0000149,,,u0000149@anu.edu.au,[MyTT] ComA/07 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),14.4,9.8,-,2.5,2.4,31.7,0.1,0.4,0.4,-,0.4,0.2,0.3,0.4,-,-,96.1,-,-,55.5,1710372714
PCOARS,GPBQFU,u0000150,,,u0000150@anu.edu.au,[MyTT] ComA/05 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),17,7.6,4.7,2.7,0,24.7,0.6,0.5,0.5,-,0.3,0.5,-,0.4,-,-,0,-,-,53.3,1710372714
DCRMSO,IDHQTJ,u0000151,,,u0000151@anu.edu.au,[MyTT] ComA/11 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 1 (01) Wed Oct 11 16:00 - 18:00 (CSIT N115/N116),24,14.5,4.4,3.2,2.2,34.8,0.4,0.6,0.5,0.4,0.6,0.3,0.5,0.5,0.4,0.6,74.3,0,-,76.7,1710372714
NCJBAY,UQGKTH,u0000152,,,u0000152@anu.edu.au,[MyTT] ComA/09 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),20,11.5,5,3.3,2.4,29.7,0.4,0.5,0.4,0.5,0.5,0.6,0.6,0.6,0.5,0.6,89.2,-,-,65.5,1710372714
MAAWWI,MLAZWU,u0000153,,,u0000153@anu.edu.au,[MyTT] ComA/01 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 2 (01) Tue Oct 10 8:00 - 10:00 (CSIT N115/N116),16.5,14.6,3.3,3.5,2.2,44.8,0.6,0.6,0.5,0.6,0.5,0.5,0.6,0.5,0.5,0.5,72.5,-,-,79.3,1710372714
TVZVWJ,QHHDOG,u0000154,,,u0000154@anu.edu.au,[MyTT] ComA/16 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Supplementary and Deferred Exam,13.9,16.8,6,1.6,0,-,-,-,-,-,0.5,-,-,-,0.4,0.6,0,-,-,34.2,1710372714
